gcid                 blocknum             valid                start                end                  duration            
0                    2458                 0.0                  14402880000          14404780000.0        1900000.0           
1                    2877                 0.0                  14402880000          14404780000.0        1900000.0           
2                    3972                 0.0                  14402880000          14404780000.0        1900000.0           
3                    330                  0.0                  14402880000          14404780000.0        1900000.0           
4                    815                  0.0                  14402880000          14405180000.0        2300000.0           
5                    1362                 0.0                  14402880000          14405180000.0        2300000.0           
6                    1867                 0.0                  14402880000          14405180000.0        2300000.0           
7                    3393                 0.0                  14402880000          14405180000.0        2300000.0           
8                    332                  0.0                  14404780000.0        14406280000.0        1500000.0           
9                    822                  0.0                  14404780000.0        14406680000.0        1900000.0           
10                   1885                 0.0                  14404780000.0        14406680000.0        1900000.0           
11                   2504                 0.0                  14405180000.0        14406680000.0        1500000.0           
12                   2892                 0.0                  14405180000.0        14406680000.0        1500000.0           
13                   3425                 0.0                  14405180000.0        14406680000.0        1500000.0           
14                   3981                 0.0                  14405180000.0        14406680000.0        1500000.0           
15                   1421                 0.00390625           14404780000.0        14408380000.0        3600000.0           
16                   408                  0.0                  14408380000.0        14409880000.0        1500000.0           
17                   831                  0.0                  14408380000.0        14409880000.0        1500000.0           
18                   1888                 0.0                  14408380000.0        14409880000.0        1500000.0           
19                   2510                 0.0                  14408380000.0        14409880000.0        1500000.0           
20                   2896                 0.0                  14408380000.0        14409880000.0        1500000.0           
21                   3526                 0.0                  14408380000.0        14409880000.0        1500000.0           
22                   4027                 0.0                  14408380000.0        14409880000.0        1500000.0           
23                   863                  0.0                  14409880000.0        14411380000.0        1500000.0           
24                   1901                 0.0                  14409880000.0        14411380000.0        1500000.0           
25                   442                  0.0                  14409880000.0        14411580000.0        1700000.0           
26                   2392                 0.00390625           14409880000.0        14411600000.0        1720000.0           
27                   3375                 0.00390625           14409880000.0        14411600000.0        1720000.0           
28                   1384                 0.0078125            14408380000.0        14411820000.0        3440000.0           
29                   4038                 0.0                  14411380000.0        14412880000.0        1500000.0           
30                   2851                 0.00390625           14409880000.0        14413080000.0        3200000.0           
31                   1399                 0.0078125            14409880000.0        14413540000.0        3660000.0           
32                   466                  0.0                  14413540000.0        14415040000.0        1500000.0           
33                   901                  0.00390625           14413540000.0        14415260000.0        1720000.0           
34                   1840                 0.00390625           14413540000.0        14415260000.0        1720000.0           
35                   2446                 0.00390625           14413540000.0        14415260000.0        1720000.0           
36                   3876                 0.00390625           14413540000.0        14415260000.0        1720000.0           
37                   2920                 0.00390625           14413540000.0        14415260000.0        1720000.0           
38                   3446                 0.00390625           14413540000.0        14415260000.0        1720000.0           
